office,website,contact
Department of the Interior and Local Government,www.dilg.gov.ph,(02) 925-0330
"DILG, Region I",dilg_r1@yahoo.com,(072) 888-3106
"DILG, Region II", r2dilg@yahoo.com,(078) 844-5378
"DILG, Region III",dilgr3_ord@yahoo.com,(045) 961-5527
"DILG, Region IV-A",dilgcalabarzon@yahoo.com,(02) 838-5032
"DILG, Region IV-B",mimaroparegion@yahoo.com,(02) 995-7831
"DILG,Region V",glidr5@yahoo.com,(052) 480-1484
"DILG, Region VI",dilg_vi@yahoo.com,(033) 335-0465
"DILG, Region VII",amvillacorta@dilg.gov.ph,(032) 253-5479
"DILG, Region VIII",dilg_r8@yahoo.com, (053) 321-6609
"DILG,Region IX",operationsdivision_dilg9@yahoo.com,(062) 850-7258
Philippine National Police,http://www.pnp.gov.ph,(02) 723-0410
Bureau of Fire Protection,http://www.bfpresponse.gov.ph,(02) 913-2279
DEPARTMENT OF TRANSPORTATION AND COMMUNICATIONS,www.dotc.gov.ph,(02) 727-7960
,,
,,
LIGHT RAIL TRANSIT AUTHORITY (LRTA),,(02) 833-2466
MANILA INTERNATIONAL AIRPORT AUTHORITY,,(+632) 851-6205
MARITIME INDUSTRY AUTHORITY (MARINA),,(02) 526-0107
LAND TRANSPORTATION OFFICE (LTO),www.lto.gov.ph, (02) 926-9882
PHILIPPINE COAST GUARD (PCG),www.pcg.gov.ph,(02) 527-8481
DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS,www.dpwh.gov.ph,(02) 304-3000 
Department of National Defense,www.dnd.gov.ph,(02)982-5600 
Armed Forces of the Philippines,www.afp.mil.ph,911-6436
Local Government Academy (LGA),www.lga.gov.ph,
